Date,Open,High,Low,Close,Adj Close,Volume
2013-10-01,1766.369995,1770.339966,1759.660034,1769.030029,1769.030029,126219300
2013-10-02,1769.969971,1774.680054,1769.449951,1770.349976,1770.349976,109131000
2013-10-03,1770.020020,1773.290039,1768.150024,1771.369995,1771.369995,73213800
2013-10-04,1771.290039,1779.020020,1769.770020,1776.560059,1776.560059,91512600
2013-10-07,1778.030029,1780.270020,1773.560059,1776.819946,1776.819946,77432400
2013-10-08,1773.650024,1778.130005,1771.319946,1777.500000,1777.500000,112191200
2013-10-09,1774.709961,1775.040039,1769.119995,1769.119995,1769.119995,97675000
2013-10-10,1769.119995,1777.449951,1768.640015,1775.920044,1775.920044,104285300
2013-10-11,1788.880005,1788.989990,1783.530029,1785.750000,1785.750000,106338900
2013-10-14,1775.109985,1788.530029,1775.109985,1784.760010,1784.760010,73069900
2013-10-16,1787.839966,1795.479980,1786.099976,1791.369995,1791.369995,134063200
2013-10-17,1801.040039,1802.569946,1796.099976,1797.420044,1797.420044,120214700
2013-10-18,1798.939941,1805.000000,1795.949951,1799.589966,1799.589966,115226800
2013-10-21,1798.920044,1803.459961,1797.140015,1802.609985,1802.609985,107015100
2013-10-22,1800.849976,1808.349976,1800.459961,1803.579956,1803.579956,123845000
2013-10-23,1805.640015,1817.930054,1805.640015,1814.109985,1814.109985,180550400
2013-10-24,1818.750000,1822.170044,1817.410034,1818.930054,1818.930054,119197000
2013-10-25,1818.599976,1820.810059,1812.469971,1817.569946,1817.569946,95627400
2013-10-28,1818.439941,1821.140015,1814.859985,1818.390015,1818.390015,87178700
2013-10-29,1821.219971,1821.790039,1813.869995,1815.650024,1815.650024,144469500
2013-10-30,1816.959961,1818.890015,1812.660034,1817.380005,1817.380005,136873800
2013-10-31,1815.140015,1815.150024,1804.560059,1806.849976,1806.849976,169630800
2013-11-01,1803.680054,1811.150024,1801.689941,1810.410034,1810.410034,95240700
2013-11-04,1811.780029,1813.829956,1806.930054,1807.469971,1807.469971,71274700
2013-11-06,1811.060059,1813.609985,1800.630005,1803.050049,1803.050049,131234300
2013-11-07,1804.079956,1806.609985,1798.459961,1806.609985,1806.609985,104976800
2013-11-08,1801.290039,1807.229980,1800.949951,1804.479980,1804.479980,118712100
2013-11-11,1803.270020,1806.229980,1802.770020,1804.209961,1804.209961,108530700
2013-11-12,1805.069946,1805.329956,1788.359985,1794.800049,1794.800049,114974200
2013-11-13,1796.189941,1796.189941,1781.660034,1782.489990,1782.489990,132264100
2013-11-14,1780.660034,1790.030029,1780.540039,1784.199951,1784.199951,116359900
2013-11-15,1784.199951,1790.780029,1784.199951,1789.869995,1789.869995,102726200
2013-11-18,1791.390015,1795.140015,1789.390015,1792.390015,1792.390015,115174800
2013-11-19,1794.459961,1813.510010,1794.390015,1807.160034,1807.160034,214103500
2013-11-20,1804.800049,1814.729980,1795.099976,1798.689941,1798.689941,191696300
2013-11-21,1795.380005,1797.890015,1790.939941,1794.650024,1794.650024,141063400
2013-11-22,1792.380005,1795.750000,1791.310059,1794.520020,1794.520020,108735200
2013-11-25,1797.290039,1806.130005,1795.709961,1797.969971,1797.969971,122102400
2013-11-26,1797.209961,1802.780029,1796.250000,1798.130005,1798.130005,186416300
2013-11-27,1795.020020,1799.819946,1792.209961,1798.459961,1798.459961,137681500
2013-11-28,1799.880005,1807.599976,1799.880005,1807.599976,1807.599976,73856200
2013-11-29,1806.780029,1812.719971,1804.270020,1812.719971,1812.719971,109757200
2013-12-02,1812.750000,1818.150024,1811.670044,1818.150024,1818.150024,99698500
2013-12-03,1825.260010,1840.119995,1821.660034,1824.290039,1824.290039,165877000
2013-12-04,1819.959961,1828.459961,1819.959961,1821.900024,1821.900024,118890500
2013-12-05,1822.119995,1826.420044,1820.630005,1824.859985,1824.859985,142210600
2013-12-06,1823.520020,1832.209961,1822.329956,1826.949951,1826.949951,123494300
2013-12-09,1826.930054,1843.619995,1826.930054,1841.869995,1841.869995,101398900
2013-12-10,1837.800049,1846.920044,1837.800049,1843.849976,1843.849976,139942100
2013-12-11,1842.910034,1845.689941,1839.729980,1842.819946,1842.819946,140819300
2013-12-12,1839.699951,1840.540039,1833.119995,1833.869995,1833.869995,105492200
2013-12-13,1833.260010,1843.479980,1831.099976,1840.349976,1840.349976,115997900
2013-12-16,1841.810059,1841.810059,1834.109985,1837.880005,1837.880005,98224500
2013-12-17,1837.219971,1851.939941,1837.219971,1850.900024,1850.900024,110912100
2013-12-18,1845.150024,1849.430054,1841.660034,1847.500000,1847.500000,120243400
2013-12-19,1847.140015,1851.530029,1845.170044,1846.180054,1846.180054,109955400
2013-12-20,1848.790039,1848.790039,1838.030029,1838.030029,1838.030029,98399500
2013-12-23,1835.390015,1840.170044,1829.219971,1832.859985,1832.859985,58940900
2013-12-24,1833.869995,1840.339966,1833.520020,1835.489990,1835.489990,43420400
2013-12-26,1828.540039,1846.489990,1828.479980,1844.099976,1844.099976,39266500
2013-12-27,1843.959961,1862.630005,1843.900024,1861.060059,1861.060059,68685700
2013-12-30,1862.329956,1872.520020,1858.609985,1872.520020,1872.520020,71541200
2013-12-31,1872.130005,1882.199951,1862.520020,1866.959961,1866.959961,92247000
2014-01-02,1865.729980,1868.290039,1848.829956,1852.949951,1852.949951,66306000
2014-01-03,1847.099976,1849.229980,1834.739990,1834.739990,1834.739990,96226900
2014-01-06,1835.849976,1836.739990,1829.130005,1829.180054,1829.180054,93432600
2014-01-07,1832.689941,1832.689941,1822.989990,1825.109985,1825.109985,102195400
2014-01-08,1826.949951,1838.390015,1825.900024,1831.300049,1831.300049,118625900
