"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 25, 2021","1,165.43","1,169.97","1,169.97","1,155.74","510.43K","0.29%"
"Feb 24, 2021","1,162.01","1,184.32","1,185.58","1,154.36","603.00K","-1.33%"
"Feb 23, 2021","1,177.64","1,174.57","1,184.32","1,168.32","598.27K","0.22%"
"Feb 22, 2021","1,175.04","1,173.57","1,182.67","1,169.12","630.04K","0.13%"
"Feb 19, 2021","1,173.50","1,160.65","1,178.18","1,157.60","578.28K","-0.07%"
"Feb 18, 2021","1,174.38","1,157.10","1,174.38","1,148.66","614.82K","1.61%"
"Feb 17, 2021","1,155.78","1,127.46","1,155.78","1,127.46","568.03K","3.66%"
"Feb 09, 2021","1,114.93","1,090.88","1,114.93","1,078.98","519.81K","2.93%"
"Feb 08, 2021","1,083.18","1,127.06","1,127.06","1,075.10","696.60K","-3.88%"
"Feb 05, 2021","1,126.91","1,114.79","1,126.91","1,112.19","529.87K","1.32%"
"Feb 04, 2021","1,112.19","1,112.97","1,117.88","1,098.85","523.41K","0.08%"
"Feb 03, 2021","1,111.29","1,084.87","1,113.24","1,082.95","703.18K","3.32%"
"Feb 02, 2021","1,075.53","1,036.95","1,075.53","1,029.36","602.62K","3.86%"
"Feb 01, 2021","1,035.51","1,056.61","1,074.52","1,035.51","634.33K","-2.00%"
"Jan 29, 2021","1,056.61","998.33","1,076.11","998.33","797.39K","3.19%"
"Jan 28, 2021","1,023.94","1,041.71","1,052.16","1,022.77","767.87K","-6.67%"
"Jan 27, 2021","1,097.17","1,122.41","1,132.99","1,088.86","785.70K","-3.43%"
"Jan 26, 2021","1,136.12","1,164.97","1,164.97","1,121.03","782.27K","-2.57%"
"Jan 25, 2021","1,166.05","1,164.20","1,172.18","1,162.80","707.24K","-0.06%"
"Jan 22, 2021","1,166.78","1,166.77","1,175.72","1,161.43","758.32K","0.22%"
"Jan 21, 2021","1,164.21","1,146.86","1,164.21","1,132.66","721.92K","2.60%"
"Jan 20, 2021","1,134.68","1,136.50","1,142.48","1,098.05","839.30K","0.33%"
"Jan 19, 2021","1,131.00","1,189.91","1,189.91","1,117.17","986.19K","-5.11%"
"Jan 18, 2021","1,191.94","1,198.79","1,200.85","1,190.33","747.42K","-0.19%"
"Jan 15, 2021","1,194.20","1,188.84","1,197.74","1,188.84","783.11K","0.57%"
"Jan 14, 2021","1,187.40","1,189.48","1,190.50","1,178.84","779.34K","0.11%"
"Jan 13, 2021","1,186.05","1,197.32","1,200.82","1,183.18","819.29K","-0.52%"
"Jan 12, 2021","1,192.28","1,190.38","1,192.28","1,179.24","719.94K","0.62%"
"Jan 11, 2021","1,184.89","1,176.47","1,186.45","1,175.00","845.85K","1.47%"
"Jan 08, 2021","1,167.69","1,164.10","1,176.33","1,160.48","808.31K","0.97%"
"Jan 07, 2021","1,156.49","1,147.26","1,156.49","1,143.44","763.74K","1.16%"
"Jan 06, 2021","1,143.21","1,139.12","1,152.85","1,133.70","790.45K","0.94%"
"Jan 05, 2021","1,132.55","1,116.96","1,134.45","1,116.49","763.43K","1.08%"
"Jan 04, 2021","1,120.47","1,113.77","1,126.43","1,113.59","764.04K","1.50%"
