Date,Open,High,Low,Close
27-Jan-14,"1,296.47","1,298.06","1,287.35","1,288.59"
24-Jan-14,"1,314.54","1,320.65","1,307.16","1,314.63"
23-Jan-14,"1,292.72","1,312.18","1,288.71","1,308.34"
22-Jan-14,"1,282.20","1,296.03","1,280.09","1,290.49"
21-Jan-14,"1,294.68","1,304.28","1,285.17","1,293.10"
20-Jan-14,"1,290.95","1,297.93","1,287.84","1,289.99"
17-Jan-14,"1,305.07","1,306.82","1,287.20","1,295.41"
16-Jan-14,"1,281.26","1,304.89","1,280.09","1,301.48"
15-Jan-14,"1,293.39","1,297.76","1,275.78","1,277.03"
14-Jan-14,"1,276.39","1,300.65","1,274.33","1,295.87"
13-Jan-14,"1,244.21","1,283.76","1,244.14","1,283.56"
10-Jan-14,"1,247.27","1,259.50","1,240.38","1,255.45"
9-Jan-14,"1,264.03","1,277.50","1,255.11","1,258.26"
8-Jan-14,"1,261.69","1,273.62","1,253.60","1,257.73"
7-Jan-14,"1,236.41","1,262.44","1,235.51","1,262.36"
6-Jan-14,"1,222.69","1,231.62","1,205.44","1,230.84"
3-Jan-14,"1,215.86","1,234.52","1,208.60","1,224.62"
2-Jan-14,"1,291.93","1,292.77","1,230.77","1,230.77"
27-Dec-13,"1,305.28","1,306.24","1,286.70","1,298.71"
26-Dec-13,"1,333.63","1,334.25","1,301.37","1,308.46"
25-Dec-13,"1,328.96","1,333.67","1,327.42","1,332.45"
24-Dec-13,"1,321.74","1,334.96","1,320.89","1,327.13"
23-Dec-13,"1,341.83","1,342.87","1,322.57","1,326.14"
20-Dec-13,"1,345.91","1,346.43","1,331.80","1,342.72"
19-Dec-13,"1,350.93","1,353.88","1,343.61","1,346.63"
18-Dec-13,"1,341.58","1,353.97","1,340.66","1,349.86"
17-Dec-13,"1,335.59","1,340.70","1,334.24","1,337.18"
16-Dec-13,"1,337.54","1,338.74","1,326.01","1,328.40"
13-Dec-13,"1,354.91","1,357.44","1,336.79","1,341.13"
12-Dec-13,"1,364.43","1,368.42","1,356.09","1,356.21"
11-Dec-13,"1,362.50","1,371.94","1,361.67","1,369.35"
9-Dec-13,"1,370.51","1,378.02","1,356.72","1,367.42"
6-Dec-13,"1,373.59","1,376.71","1,355.02","1,361.57"
4-Dec-13,"1,381.17","1,388.53","1,376.63","1,376.63"
3-Dec-13,"1,373.58","1,392.94","1,372.48","1,383.89"
2-Dec-13,"1,358.89","1,374.46","1,351.67","1,374.26"
29-Nov-13,"1,356.43","1,371.34","1,352.65","1,371.13"
28-Nov-13,"1,377.04","1,379.01","1,356.91","1,359.45"
27-Nov-13,"1,355.78","1,373.70","1,354.60","1,373.11"
26-Nov-13,"1,347.46","1,367.02","1,345.19","1,358.69"
25-Nov-13,"1,345.97","1,359.90","1,345.02","1,352.86"
22-Nov-13,"1,372.56","1,377.43","1,354.96","1,359.07"
21-Nov-13,"1,394.60","1,395.29","1,374.37","1,375.86"
